Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
457	ground	0		\image\effect\fightskill\emei\em_10_md_b.spr	\image\icon\fightskill\state\mengdie.spr	1	1	2	Nhuận Vật Vô Thanh
458	ground	1		\image\effect\fightskill\tianwang\tw_100_lhdmq_b.spr	\image\icon\fightskill\state\lianhuanduomingqiang.spr	1	1	3	Như Nhật Trung Thiên
459	body	1		\image\effect\fightskill\tianwang\tw_70_jzz_b.spr	\image\icon\fightskill\state\jinzhongzhao.spr	1	1	2	Cố Nhược Kim Thang
460	body	1		\image\effect\fightskill\emei\em_30_chpd_d.spr	\image\icon\fightskill\state\cihangpudu.spr	0	1	2	Bình nước nhỏ_Cộng máu
461	body	1		\image\effect\fightskill\public\blade_d.spr	\image\icon\fightskill\state\cihangpudu.spr	0	1	2	Cuốc nhỏ_Giảm máu
462	ground	1		\image\effect\other\vip_aura.spr		1	0		
463	body	1		\image\effect\other\wangguan_vn.spr		1	0	1	Vương Miện Việt Nam
464		0			\image\icon\fightskill\state\chengshuangshi.spr	1	1		Bất khuất
465	ground	1		\image\effect\other\state_boss.spr		1	1	1	Đang ngồi
470		0			\image\icon\fightskill\state\partner\zhuangbeijiesuo.spr	1	0		Nhắc nhở mở khóa trang bị Đồng hành
471	ground	1		\image\effect\fightskill\public\fuyun_7xi.spr		1	0	2	Vòng sáng npc Thất Tịch
472	head	1		image\effect\other\state_unlock.spr		0	0		Đang mở khóa…
473	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\cihangpudu.spr	1	1	2	Khí Tráng Sơn Hà
474		0			\image\icon\fightskill\state\zhuifengduji.spr	1	1	2	Chiến Thần Đơn<enter>Công lực tăng thêm, có thể sử dụng một số kỹ năng hiếm thấy
475	ground	1		\image\effect\other\statue_aura1.spr		1	0	1	
476		0			\image\icon\fightskill\state\partner\zhuangbeijiesuo.spr	1	0		Xin phép mở khóa Chân nguyên
477	ground	0		\image\effect\other\beauty_4.spr		1	0	1	Vòng sáng hoạt động 10 mỹ nữ
478	ground	0		\image\effect\other\beauty_5.spr		1	0	1	Vòng sáng hoạt động 10 mỹ nữ
479	ground	0		\image\effect\other\beauty_6.spr		1	0	1	Vòng sáng hoạt động 10 mỹ nữ
480		1			\image\icon\fightskill\state\autocd1.spr	1	0		Hái quả
481		1			\image\icon\fightskill\state\chuanxinduci.spr	1	1		Ngũ Chuyển Tâm Pháp
482	body	1		\image\effect\fightskill\shaolin\sl_120_xlby_a.spr	\image\icon\fightskill\state\daoshao120.spr	1	1	3	Hàng Long Bất Vũ
483	head	1		\image\effect\fightskill\tianwang\tw_120_hxwj_b.spr	\image\icon\fightskill\state\qiangtian120.spr	1	1	3	Hoành Hành Vô Kỵ
484	ground	0		\image\effect\fightskill\shaolin\sl_90_wxz_a.spr	\image\icon\fightskill\state\chuitian120.spr	1	1	2	Hóa Kình Quyết
485	ground	0		\image\effect\fightskill\tangmen\tm_120_yzz_a.spr	\image\icon\fightskill\state\xianjing120.spr	1	1	3	Ảnh Tung Trận
486	head	1		\image\effect\fightskill\tangmen\tm_120_shd_a.spr	\image\icon\fightskill\state\xiujian120.spr	1	0	3	Tang Hồn Đinh
487	head	1		\image\effect\fightskill\wudu\wd_120_sxg_a1.spr	\image\icon\fightskill\state\daodu120_2.spr	1	1	3	Thất Tâm Cổ
488	body	1		\image\effect\fightskill\wudu\wd_120_sxg_a2.spr	\image\icon\fightskill\state\daodu120_3.spr	1	1	3	Thất Tâm Cổ
489		1			\image\icon\fightskill\state\zhangdu120.spr	1	0		Lý Đại Đào Cương
490	head	1		\image\effect\other\make_succeed.spr	\image\icon\fightskill\state\zhange120.spr	1	1	3	Diệp Để Tàng Hoa
491	ground	0		\image\effect\fightskill\emei\em_120_qxjq_a.spr	\image\icon\fightskill\state\fue120.spr	1	1	2	Thanh Tâm Tịnh Khí
492	body	1		\image\effect\fightskill\cuiyan\cy_120_bxyl_b.spr	\image\icon\fightskill\state\jiancui120.spr	1	1	3	Băng Tâm Ngọc Lăng
493	ground	1		\image\effect\fightskill\cuiyan\cy_100_fxph_a.spr	\image\icon\fightskill\state\daocui120_1.spr	1	1	2	Ảm Tướng Vọng
494	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b2.spr	\image\icon\fightskill\state\daocui120_2.spr	1	1	2	Tương Tư
495		1			\image\icon\fightskill\state\gungai120.spr	1	1		Tung Hạc Công
496		1			\image\icon\fightskill\state\moren120.spr	1	1		Ma Đao Thôn Thần
497		0			\image\icon\fightskill\state\gunshao120.spr	1	1	3	Vô Lượng Thọ Nguyên Công
498	ground	0		\image\effect\fightskill\wudang\wd_120_yhmm_b.spr	\image\icon\fightskill\state\jianwu120.spr	1	1	3	Tử Tiêu Hoành Vân
499	body	1		\image\effect\fightskill\kunlun\kl_120_jrwy_a.spr	\image\icon\fightskill\state\jiankun120.spr	1	1	3	Tích Nhưỡng Vi Nhạc
500	ground	0		\image\effect\fightskill\shaolin\sl_70_alhsg_b.spr	\image\icon\fightskill\state\aluohanshengong.spr	1	1	2	A La Hán Thần Công_Đồng đội 
501	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	Thiên Vương Chiến Ý_Phe ta
502	body	1		\image\effect\fightskill\tianwang\tw_70_jzz_b.spr	\image\icon\fightskill\state\jinzhongzhao.spr	1	1	2	Kim Chung Tráo_Phe ta
503	ground	0		\image\effect\fightskill\tangmen\tm_30_cds_b2.spr	\image\icon\fightskill\state\cuidushu.spr	1	1	2	Tôi Độc Thuật_Đồng đội
504	ground	0		\image\effect\fightskill\emei\em_50_fxcy_b.spr	\image\icon\fightskill\state\foxinciyou.spr	1	1	2	Phật Tâm Từ Hựu_Đồng đội 
505	ground	0		\image\effect\fightskill\emei\em_70_ls_b.spr	\image\icon\fightskill\state\liushui.spr	1	1	2	Lưu Thủy Quyết_Đồng đội
506	ground	0		\image\effect\fightskill\emei\em_10_md_b.spr	\image\icon\fightskill\state\mengdie.spr	1	1	2	Mộng Điệp_Đồng đội
507	ground	0		\image\effect\fightskill\emei\em_50_qyfc_b.spr	\image\icon\fightskill\state\qingyinfanchang.spr	1	1	2	Thanh Âm Phạn Xướng_Đồng đội 
508	body	1		\image\effect\fightskill\cuiyan\cy_70_xyhc_b.spr	\image\icon\fightskill\state\xueyinghongchen.spr	1	1	2	Tuyết Ánh Hồng Trần_Đồng đội 
509	body	1		\image\effect\fightskill\wudang\wd_70_zwqj_b.spr	\image\icon\fightskill\state\zhenwuqijie.spr	1	1	2	Chân Vũ Thất Tiệt_Đồng đội 
510	ground	0		\image\effect\fightskill\wudang\wd_70_qxj_b.spr	\image\icon\fightskill\state\qixingjue.spr	1	1	2	Thất Tinh Quyết_Đồng đội
511	head	1		\image\effect\fightskill\kunlun\kl_30_qff_b.spr	\image\icon\fightskill\state\qingfengfu.spr	1	1	2	Thanh Phong Phù_Phe ta
512	ground	0		\image\effect\fightskill\kunlun\kl_70_yqsq_b.spr	\image\icon\fightskill\state\yiqisanqing.spr	1	1	2	Nhất Khí Tam Thanh_Phe ta
513	body	1		\image\effect\fightskill\kunlun\kl_70_dgxf_b.spr	\image\icon\fightskill\state\daoguxianfeng.spr	1	1	2	Đạo Cốt Tiên Phong_Phe ta
514	ground	0		\image\effect\fightskill\mingjiao\mj_70_jgtm_b.spr	\image\icon\fightskill\state\jingetiema.spr	1	1	2	Kim Qua Thiết Mã_Đồng đội 
515	ground	0		\image\effect\fightskill\daliduanshi\ds_30_bmsg_b.spr	\image\icon\fightskill\state\beimingshengong.spr	1	1	2	Bắc Minh Thần Công_Đồng đội 
516	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Phổ Độ Chúng Sinh_Đồng đội 
517	head	1		\image\effect\fightskill\kunlun\kl_110_wrww_b.spr	\image\icon\fightskill\state\wurenwuwo.spr	1	1	2	Vô Nhân Vô Ngã_Đồng đội 
518	ground	1		\image\effect\fightskill\emei\em_110_fgzq_b.spr	\image\icon\fightskill\state\foguangzhanqi.spr	1	1	2	Phật Quang Chiến Khí_Phe ta
519	ground	1		\image\effect\fightskill\emei\em_100_wxsg_a.spr	\image\icon\fightskill\state\wanxiangshengong.spr	0	1	2	Vạn Tướng Thần Công_Phe ta
520	ground	0		\image\effect\fightskill\gaibang\gb_100_mcqh_b.spr	\image\icon\fightskill\state\mingchaqiuhao.spr	1	1	2	Minh Sát Thu Hào_Đội
521	ground	1		\image\effect\fightskill\shaolin\sl_90_wxz_a.spr	\image\icon\fightskill\state\chuitian120.spr	1	1	2	Hóa Kình Quyết_Đồng đội 
522	ground	1		\image\effect\fightskill\emei\em_120_qxjq_a.spr	\image\icon\fightskill\state\fue120.spr	1	1	2	Thanh Tâm Tịnh Khí_Đồng đội 
523		1			\image\icon\fightskill\state\autocd2.spr	1	0		Vũ Đả Lê Hoa đang chờ, không thể thi triển lần nữa
524	body	1		\image\effect\fightskill\wudu\wu_70_hxjm_b.spr	\image\icon\fightskill\state\daodu120_1.spr	1	0	3	Thất Tâm Cổ
525		0			\image\icon\fightskill\state\liangyixinfa.spr	1	1	3	Lưỡng Nghi Tâm Pháp
526		0			\image\icon\fightskill\state\knock.spr	1	0	3	Đại Thừa Như Lai Chú
527		1			\image\icon\fightskill\state\zhaohunqu_state.spr	1	1	3	Đạp Tuyết Vô Ngấn
528	head	1			\image\icon\fightskill\state\jianwu120.spr	1	0	3	Vân Hải Mê Mang
529		1			\image\icon\fightskill\state\weak.spr	1	0	1	Hồn Phách Phi Dương
530		1			\image\icon\fightskill\state\xueyingwu.spr	1	1	3	Xuân Nê Hộ Hoa
531		1			\image\icon\fightskill\state\partner\tongbanchongsheng.spr	1	1	3	Ý Chí Bất Khuất
532	head	1		\image\effect\fightskill\public\state_slowrun.spr	\image\icon\fightskill\state\slowrun.spr	1	0	1	Vân Già Vụ Nhiễu
533		1	Green3		\image\icon\fightskill\state\burn.spr	1	0	1	Cực Độc<enter>gây sát thương ngày càng cao
534	head	1		\image\effect\fightskill\wudu\wu_70_cyst_a.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	3	Chước Nhiệt Tổ Chú
535	head	1		\image\effect\fightskill\npc\xoyo_jiantou1_big.spr	\image\icon\fightskill\state\zhican.spr	1	0	3	Bạn sẽ bị Hồng Liên Bộc Viêm Chùy tấn công
536		1			\image\icon\fightskill\state\fukong.spr	1	1	3	Miễn dịch sát thương hỏa diệm
537	ground	1		\image\effect\fightskill\npc\xoyo_jiangtou5.spr	\image\icon\fightskill\state\fukong.spr	1	0	3	Thử Vật Tối Tương Tư<enter>Bạn sẽ tiếp tục gây sát thương cho đồng đội xung quanh
538		1		\image\effect\fightskill\tianren\tr_50_bsqf_b.spr	\image\icon\fightskill\state\beisuqingfeng.spr	1	0	3	Chước Giới
539	ground	0		\image\effect\fightskill\shaolin\sl_30_bdmw_b.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Gây sát thương chí mạng cho phe ta
540	ground	0		\image\effect\fightskill\npc\junying__boss_1.spr	\image\icon\fightskill\state\limoduopo.spr	1	1	2	Tăng phòng thủ
541	ground	0		\image\effect\fightskill\npc\junying__boss_2.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Giảm phòng thủ
542	body	1		\image\effect\fightskill\gaibang\gb_50_klyh_d.spr	\image\icon\fightskill\state\foguangzhanqi.spr	1	1	2	Tăng Lực tấn công
543	body	1		\image\effect\fightskill\wudu\wu_10_xdds_d.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Bạn tiếp tục giảm sinh lực
544	body	1		\image\effect\fightskill\wudu\wu_10_xdds_d.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Bạn tiếp tục giảm nội lực
545	body	1		\image\effect\fightskill\wudu\wu_10_xdds_d.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Bạn tiếp tục giảm thể lực
546		1			\image\icon\fightskill\state\foguangzhanqi.spr	1	1	2	Tăng lực tấn công
547	head	1		\image\effect\fightskill\npc\jiantou1.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Vô Ngấn<enter>Sau một thời gian sẽ nổ đồng thời ảnh hưởng đến đối phương.
548	ground	1		\image\effect\fightskill\npc\xoyo_jiantou1.spr	\image\icon\fightskill\state\beimoxueguang.spr	1	0	3	Nguyện Quân Đa Thái Hiệt<enter>Bạn sẽ gây sát thương cho bản thân
549	head	1		\image\effect\fightskill\gaibang\gb_110_qlg_b.spr	\image\icon\fightskill\state\fukong.spr	1	0	3	<color=red>Khổng Tước Phệ Tâm<color><enter>Bạn sẽ gây sát thương chí mạng cho đồng đội gần đó
550		1	Black		\image\icon\fightskill\state\weak.spr	1	0	1	Hàn Kiếp<enter>Mau chóng đánh vỡ Khối Băng xóa trạng thái này
551		1	Green3		\image\icon\fightskill\state\poisoning.spr	1	0	1	Trúng Độc<enter>Đến gần đầu nguồn nơi phát sinh độc tố để giải độc
552		0			\image\icon\fightskill\state\knock.spr	1	0	3	Mau chạy đi
553		0			\image\icon\fightskill\state\wangushixin.spr	1	0	3	Ách Vận<enter>Sau 3 giây gây sát thương phạm vi cho phe ta ở gần đó
554		1			\image\icon\fightskill\state\limoduopo.spr	1	0	2	Bạn tiếp tục giảm sinh lực, nội lực và thể lực
555	ground	1		\image\effect\fightskill\npc\xoyo_jiantou4.spr	\image\icon\fightskill\state\zhuifengduji.spr	1	0	2	Xuân
556	ground	1		\image\effect\fightskill\npc\xoyo_jiantou3.spr	\image\icon\fightskill\state\zhuifengduji.spr	1	0	2	Hạ
557	ground	1		\image\effect\fightskill\npc\xoyo_jiantou1.spr	\image\icon\fightskill\state\zhuifengduji.spr	1	0	2	Thu
558	ground	1		\image\effect\fightskill\npc\xoyo_jiantou5.spr	\image\icon\fightskill\state\zhuifengduji.spr	1	0	2	Đông 
559		1			\image\icon\fightskill\state\daodu120_1.spr	1	0	2	Duy trì sát thương
560		1			\image\icon\fightskill\state\daodu120_3.spr	1	1	2	Tăng tốc độ tấn công
561		1			\image\icon\fightskill\state\daodu120_3.spr	1	1	2	Tăng tốc độ di chuyển
562		1			\image\icon\fightskill\state\daodu120_3.spr	1	1	2	Tăng sinh lực tối đa
563		1			\image\icon\fightskill\state\daodu120_3.spr	1	1	2	Tăng Lực tấn công
564		1			\image\icon\fightskill\state\daodu120_3.spr	1	1	2	Tăng điểm chí mạng
565		1			\image\icon\fightskill\state\daodu120_1.spr	1	0	2	Giảm tốc độ tấn công
566		1			\image\icon\fightskill\state\daodu120_1.spr	1	0	2	Giảm tốc độ di chuyển
567		1			\image\icon\fightskill\state\daodu120_1.spr	1	0	2	Giảm HP tối đa
568		1			\image\icon\fightskill\state\daodu120_1.spr	1	0	2	Giảm lực tấn công
569		1			\image\icon\fightskill\state\palsy.spr	1	0	2	Nổ sau 5 giây
570		1			\image\icon\fightskill\state\zhican.spr	1	0	2	Khinh công tăng tiêu hao
571		1			\image\icon\fightskill\state\limoduopo.spr	1	0	2	Tăng sát thương
572		1			\image\icon\fightskill\state\foxinciyou.spr	1	1	2	Tăng sinh, nội
573		1			\image\icon\fightskill\state\kurongchangong.spr	1	1		Tăng 50% điểm khi dùng các lệnh bài danh vọng BHĐ,TK,GT,MP,NQ,VLCT
574		1			\image\icon\fightskill\state\kurongchangong.spr	1	1		Sử dụng Hồn Thạch cường hóa Ngũ Hành Ấn, hiệu quả tăng 20%
575		0			\image\icon\fightskill\state\partner\shanchutongban.spr	1	1		Tăng sức mạnh
605		0			\image\icon\fightskill\state\partner\zhuangbeijiesuo.spr	1	1		Chiến Sĩ Chúc Phúc
606		1			\image\icon\fightskill\state\burnish.spr	1	1		Long Trụ Thanh Long
607		1			\image\icon\fightskill\state\burnish.spr	1	1		Long Trụ Chu Tước
608		1			\image\icon\fightskill\state\armor.spr	1	1		Long Trụ Bạch Hổ
609		1			\image\icon\fightskill\state\series.spr	1	1		Long Trụ Huyền Vũ
610	ground	1		\image\layer\denhatbang.spr		1	0	1	Vòng sáng quan hàm 7
611	ground	0		\image\Update2016\fightskill\public\guanxian_halo_7.spr		1	0	1	Vòng sáng quan hàm 7
612	ground	1		\image\effect\other\vn_vip_huangse.spr		1	0	1	Vòng sáng quan hàm 7
613	ground	1		\image\effect\other\vn_vip_lanse.spr		1	0	1	Vòng sáng quan hàm 7
614	ground	1		\image\effect\other\vn_vip_zise.spr		1	0	1	Vòng sáng quan hàm 7
615	ground	1		\image\effect\other\wldh_aura_1.spr		1	0	1	Vòng sáng quan hàm 7
616	ground	0	Yellow	\image\effect\fightskill\npc\xoyo_saiyaren_d.spr	\image\icon\fightskill\public\tianxianwuxue.spr	1	1	3	Giao Long Hấp Thủy
617	ground	0		\image\title\vip\ngoaho.spr	\image\layer\ngoaho.spr	1	1	2	Ngọa Hổ			
618	ground	1		\image\layer\king1.spr	\image\layer\king1.spr	1	1	2	King 1			
619	ground	2		\image\layer\king2.spr	\image\layer\king2.spr	1	1	2	King 2			
620	ground	0		\image\layer\ruouhoangkim.spr	\image\layer\ruouhoangkim.spr	1	1	2	Rượu hoàng kim			
621	ground	0		\image\layer\layer1.spr	\image\layer\layer1.spr	1	1	2	Pháp Bảo			
622	ground	0		\image\layer\tong.spr	\image\layer\tong.spr	1	1	2	Vòng Sáng			
623	ground	0		\image\layer\kim.spr	\image\layer\kim.spr	1	1	2	Vòng Sáng			
624	ground	0		\image\layer\ruoulam.spr	\image\layer\ruoulam.spr	1	1	2	Rượu Lam			
625	ground	0		\image\layer\ruouluc.spr	\image\layer\ruouluc.spr	1	1	2	Rượu Lục			
626	ground	0		\image\layer\ruoutrang.spr	\image\layer\ruoutrang.spr	1	1	2	Rượu Trắng			
627	body	1		\image\effect\fightskill\xiaoyao\zxy_110_tcjb_a.spr	1	1	2	Đại Tống			
628	body	1		\image\effect\fightskill\xiaoyao\zxy_mj_ssf_a.spr	1	1	2	Đại Kim			
629	ground	1		\image\effect\fightskill\xiaoyao\xy_90_xzfs_a.spr	1	1	2	Vòng Sáng			
630	body	1		\image\effect\fightskill\xiaoyao\xy_30_zqfgy_a.spr	1	1	2	Vòng Sáng			
631	ground	0	Yellow	\image\effect\fightskill\public\wudaochui_chusai.spr		1	1	3	Nhà tài trợ Kim Cương 3
632	ground	0	Yellow	\image\effect\fightskill\public\wudaochui_juesai.spr		1	1	3	Nhà tài trợ Kim Cương 4
633	body	0	Yellow	\image\effect\fightskill\public\xiongbatianxia.spr		1	1	3	Đệ nhất bang
634	ground	0	Yellow	\image\effect\fightskill\public\KimCuong5.spr		1	1	3	Nhà tài trợ Kim Cương 5
635	ground	0	Yellow	\image\effect\fightskill\public\KimCuong6.spr		1	1	3	Nhà tài trợ Kim Cương 6
636	ground	0	Yellow	\image\effect\fightskill\public\KimCuong7.spr		1	1	3	Nhà tài trợ Kim Cương 7
637	ground	0		\image\effect\tc\jx1.spr		1	1	2	Tàng Long			
638	ground	0		\image\effect\tc\jx2.spr		1	1	2	Tàng Long			
639	ground	0		\image\effect\tc\phaohoa.spr		1	1	2	Pháo Hoa			
640	ground	0		\image\effect\tc\jx3.spr		1	1	2	Vòng sáng			
641	ground	0		\image\effect\tc\minhchu.spr		1	1	2	Vòng sáng			
642	ground	0		\image\effect\tc\tnv.spr		1	1	2	Vòng sáng			
643	ground	0		\image\effect\tc\dshdst.spr		1	1	2	Vòng sáng			
644	ground	0		\image\effect\tc\jx5.spr		1	1	2	Vòng sáng			
645		1			\image\icon\fightskill\state\xiulianzhuangtai.spr	1	1		Kinh nghiệm đánh quái
646	head	1		\image\effect\fightskill\tianren\tr_10_fhwj_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Trạng thái vận tiêu, tốc độ di chuyển giảm, không thể phù
647	head	1		\image\effect\fightskill\tianren\tr_10_lmdp_b.spr	\image\icon\fightskill\state\limoduopo.spr	1	1	2	Trạng thái cướp tiêu, phần thưởng bị giới hạn
